term,estimate_log_odds,std_error,z_value,p_value,estimate,conf_low,conf_high,outcome,outcome_label,term_clean
freq_catDaily,-0.11371603512568401,0.04308093123527942,-2.6395909249185583,0.008300615352707716,0.8925113617781918,0.8202429842628595,0.9711470212927626,supp_cas,Casual Companionship,Frequency: Daily (vs. Weekly)
pos_catTop 5,-0.36717167944695484,0.040838607096163444,-8.990798304711243,2.454411065110212e-19,0.692690714076979,0.6394061977348516,0.7504156623258859,supp_cas,Casual Companionship,Salience: Top 5 (vs. Middle 10)
pos_catBottom 5,0.1695058822054671,0.06386696960535457,2.654046109481541,0.007953295811423577,1.1847193157750615,1.0453237246305533,1.3427035320245764,supp_cas,Casual Companionship,Salience: Bottom 5 (vs. Middle 10)
duration_cat< 2 Years,0.38922384264066034,0.047396438244611254,8.212090550599827,2.17370245526337e-16,1.4758348691363572,1.3449096333297537,1.6195055095011655,supp_cas,Casual Companionship,Duration: < 2 Years (vs. 2-4 Years)
duration_cat5-10 Years,-0.5840541443512385,0.06662159227149433,-8.76673949747581,1.83914648677411e-18,0.5576330528225207,0.48937193996418515,0.6354157159540481,supp_cas,Casual Companionship,Duration: 5-10 Years (vs. 2-4 Years)
duration_cat> 10 Years,-0.7978205556102855,0.09357837247608128,-8.525693859595702,1.5189651234885623e-17,0.45030931953420433,0.37484818849289464,0.5409616198884254,supp_cas,Casual Companionship,Duration: > 10 Years (vs. 2-4 Years)
role_catFamily,-0.9169095419658504,0.09261420130922236,-9.900312576301904,4.149760017947069e-23,0.399752552532713,0.3333929760473047,0.47932054583461087,supp_cas,Casual Companionship,Role: Family (vs. Friend)
role_catRomantic Partner,-1.5733503653073053,0.12657308448401186,-12.430370735778695,1.7880318195746977e-35,0.20734932134091985,0.1617936354732956,0.26573196735934806,supp_cas,Casual Companionship,Role: Romantic Partner (vs. Friend)
role_catAcquaintance,-1.543477026378117,0.17545326001856004,-8.797083771568808,1.4041748578623367e-18,0.21363698708462214,0.15147034496251924,0.30131813763208,supp_cas,Casual Companionship,Role: Acquaintance (vs. Friend)
role_catOther,-0.9399415738898907,0.1440467724863856,-6.525252580572246,6.788703490446974e-11,0.3906506588901801,0.2945597977946924,0.518088138414935,supp_cas,Casual Companionship,Role: Other (vs. Friend)
ego_genderMen,1.1109067977995666,0.09858757793333053,11.268222843965322,1.8833278517134903e-29,3.037111191877546,2.5034634297959637,3.6845133354233277,supp_cas,Casual Companionship,Ego Gender: Men (vs. Women)
same_dormTRUE,-0.021573261252043268,0.056423805498174245,-0.38234325142676406,0.7022067772157895,0.9786577771486762,0.8761973570114148,1.0930996733891205,supp_cas,Casual Companionship,Context: Same Dormitory
roommateTRUE,-0.10498127149192472,0.07349962010113212,-1.4283240015047056,0.15319862256336889,0.9003413844792558,0.7795483800729545,1.0398515721758812,supp_cas,Casual Companionship,Context: Roommate
(Intercept),-5.005160707811307,0.22168207787438868,-22.57810264051825,7.113768049633388e-113,0.00670326399477647,0.004340969449102664,0.010351086021339079,supp_inst,Instrumental Support,Intercept
close_catDistant,1.0224024437411192,0.7101625762422227,1.4396737844890288,0.14995971361739013,2.779865217854647,0.6910685848223426,11.182176124276667,supp_inst,Instrumental Support,Closeness: Distant (vs. Close)
close_catLess Close,-0.08063510635105428,0.293977851404938,-0.2742897329363223,0.783861973995916,0.9225302554670167,0.5184914739638562,1.6414196085919943,supp_inst,Instrumental Support,Closeness: Less Close (vs. Close)
close_catEspecially Close,-0.16848697562391074,0.1190002233831661,-1.4158542802176377,0.15681817331868667,0.8449422681931458,0.6691631256965807,1.0668959617824112,supp_inst,Instrumental Support,Closeness: Especially Close (vs. Close)
freq_catLess than Monthly,-0.41891418555672255,0.3043384431784636,-1.376474760078443,0.16867469631936574,0.6577606382089503,0.3622511460140414,1.1943345436932733,supp_inst,Instrumental Support,Frequency: Less than Monthly (vs. Weekly)
freq_catMonthly,-0.4799062793438418,0.14026334752739564,-3.421466033741342,6.228450433636264e-4,0.6188413873092866,0.4700940769909812,0.8146553666410685,supp_inst,Instrumental Support,Frequency: Monthly (vs. Weekly)
freq_catDaily,-0.26319725878361633,0.09271906560761346,-2.838653054350931,0.00453043864563895,0.7685902711748671,0.640871296716905,0.9217623069887649,supp_inst,Instrumental Support,Frequency: Daily (vs. Weekly)
pos_catTop 5,0.35953598625378896,0.0921884161743329,3.9000126173540983,9.618767514569065e-5,1.4326644842894591,1.195837396942704,1.7163934911150167,supp_inst,Instrumental Support,Salience: Top 5 (vs. Middle 10)
pos_catBottom 5,0.29467169866246734,0.17309995094063846,1.7023210986554222,0.08869519177385243,1.3426854808805913,0.9563759355732848,1.8850372886963966,supp_inst,Instrumental Support,Salience: Bottom 5 (vs. Middle 10)
duration_cat< 2 Years,-0.2500755781548442,0.20155420808563432,-1.240736080531718,0.21470326092185632,0.7787419249694505,0.5245986284595793,1.1560056637697669,supp_inst,Instrumental Support,Duration: < 2 Years (vs. 2-4 Years)
duration_cat5-10 Years,0.2587130069738348,0.23860635726411764,1.0842670326988009,0.27824641798355987,1.295262020313932,0.8114313814579817,2.0675854294089877,supp_inst,Instrumental Support,Duration: 5-10 Years (vs. 2-4 Years)
duration_cat> 10 Years,0.5907570805599714,0.27995643082168525,2.1101750684064364,0.03484327917174869,1.8053546970849612,1.042938777833343,3.1251168827548907,supp_inst,Instrumental Support,Duration: > 10 Years (vs. 2-4 Years)
role_catFamily,2.5630907490712334,0.22842299744867753,11.220808665060588,3.223095644275113e-29,12.975860530785065,8.292750289942255,20.303632766875236,supp_inst,Instrumental Support,Role: Family (vs. Friend)
role_catRomantic Partner,0.2540450708132425,0.3466633130693678,0.7328294089268331,0.46366248193569226,1.2892299095988493,0.6534985120574393,2.5434086369551916,supp_inst,Instrumental Support,Role: Romantic Partner (vs. Friend)
role_catAcquaintance,-12.746083206768224,271.9922539206442,-0.04686193456997121,0.9626232665569777,2.913710489317362e-6,8.708950077031473e-238,9748257528708839e210,supp_inst,Instrumental Support,Role: Acquaintance (vs. Friend)
role_catOther,0.8025397624301066,0.45420014134515724,1.7669297945467568,0.0772399865167778,2.2312004576168563,0.9160425031127286,5.434524560982126,supp_inst,Instrumental Support,Role: Other (vs. Friend)
ego_genderMen,0.4158372135940181,0.15236677637830642,2.7291856103954686,0.006349095680373582,1.5156391233420505,1.1243424005348495,2.0431160037300913,supp_inst,Instrumental Support,Ego Gender: Men (vs. Women)
same_dormTRUE,-0.6856841813660851,0.2732098406778902,-2.5097345676303626,0.012082194142193943,0.5037454583893842,0.29488333687089685,0.860541967344291,supp_inst,Instrumental Support,Context: Same Dormitory
roommateTRUE,0.08868733091905603,0.3908267814831667,0.22692234800924432,0.8204841241141225,1.0927389372274012,0.5079698615668341,2.350687462539083,supp_inst,Instrumental Support,Context: Roommate
(Intercept),-3.172166111379827,0.14905416179760772,-21.2819694071148,1.667876045878276e-100,0.041912711902170746,0.031294520254529785,0.05613364271785225,supp_per,Peripheral Support,Intercept
close_catDistant,1.2833343182045276,0.36103836779975584,3.554564923460734,3.786050246204659e-4,3.6086520822620503,1.7783733840408322,7.322629751253201,supp_per,Peripheral Support,Closeness: Distant (vs. Close)
